"switched to visual basic from ruby"	0
"moved from java to swift"	4
"switch from lisp to c"	0
"move from scala to python"	0
"move to r from c"	0
"switch to c# from perl"	1
"switch to ruby from python"	0
"switch to c++ from visual basic"	0
"switch to c from c#"	1
"switched from go to perl"	0
"switch from c to c++"	9540
"moved to swift from node"	0
"moved from ruby to python"	417
"move from swift to java"	0
"moved to python from go"	0
"moved from python to c++"	6
"moved from go to swift"	0
"move to perl from swift"	0
"moved from python to c"	7
"move from python to node"	0
"move from python to php"	6
"switch from go to php"	0
"switched to ruby from c++"	0
"switch to go from c"	4
"moved from php to node"	388
"switched to c from visual basic"	0
"moved from swift to c++"	0
"switched from swift to node"	0
"moved from c# to swift"	0
"move from go to c++"	0
"move to c# from ruby"	0
"moved to perl from php"	1
"switched to go from c"	0
"moved from c to visual basic"	0
"switched from visual basic to python"	2
"moved from c++ to c"	7
"move to c# from c"	5
"switched from node to go"	6
"switch to go from python"	1
"switched from go to c#"	0
"moved to java from perl"	0
"switched to c# from perl"	0
"switched from c# to node"	1
"switched to swift from php"	0
"move to node from ruby"	0
"move to perl from python"	0
"switch to python from c"	3230
"move to go from c"	0
"move from node to php"	0
"move from java to visual basic"	0
"move to go from python"	2
"move to go from perl"	0
"move to swift from php"	0
"switched from java to c#"	1580
"switched from visual basic to swift"	0
"switch from swift to node"	0
"move to ruby from visual basic"	0
"moved from java to c++"	9
"moved to c from go"	0
"switched to visual basic from c++"	0
"switch to perl from php"	0
"move from python to c#"	5
"moved from c++ to python"	9
"moved to python from c"	0
"moved from php to go"	1
"switch to swift from c#"	0
"moved from python to perl"	1
"switch to perl from java"	0
"switch to swift from node"	0
"moved from ruby to swift"	0
"switch from java to php"	1070
"moved to swift from java"	0
"moved from node to java"	0
"move to python from php"	5
"move to java from go"	0
"moved to go from java"	0
"moved to c++ from c#"	1
"switched to python from node"	0
"moved from node to visual basic"	0
"moved to ruby from java"	6
"switch from swift to c#"	1
"switch to c# from java"	2
"move to perl from c"	0
"move from c to c++"	12100
